nombre de points, force brute, DPR brute, DPR mixte
10, 0.0, 0.0, 0.0
15, 0.0, 0.0, 0.0
22, 0.0, 0.0, 0.0
33, 1.0006427764892578, 0.0, 0.0
49, 0.0, 0.0, 0.0
73, 1.0004043579101562, 0.0, 0.0
109, 4.001855850219727, 0.0, 0.0
163, 9.001970291137695, 1.0008811950683594, 0.9996891021728516
244, 19.005298614501953, 0.99945068359375, 1.0008811950683594
366, 43.00880432128906, 2.001047134399414, 2.000093460083008
549, 93.02067756652832, 3.000020980834961, 2.0008087158203125
823, 196.0430145263672, 3.999948501586914, 5.00178337097168
1234, 453.10211181640625, 7.000923156738281, 7.002830505371094
1851, 976.2182235717773, 14.002799987792969, 11.003494262695312
2776, 2195.4920291900635, 28.00726890563965, 20.003557205200195
